City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Laguna,US,38.421,-121.4238,66.29,63,40,1.34,scattered clouds
80,Carnarvon,AU,-24.8667,113.6333,89.35,31,0,11.23,clear sky
81,Rio Gallegos,AR,-51.6226,-69.2181,49.3,68,100,24.9,overcast clouds
82,Geraldton,AU,-28.7667,114.6,88.21,18,0,5.75,clear sky
83,Coxim,BR,-18.5067,-54.76,82.04,67,78,4.12,broken clouds
84,Altamira,BR,-3.2033,-52.2064,74.25,91,96,2.3,overcast clouds
85,Mbini,GQ,1.574,9.6134,78.62,85,100,6.46,overcast clouds
86,Bastia,FR,42.6667,9.3333,51.6,76,0,3.44,clear sky
87,Iqaluit,CA,63.7506,-68.5145,21.18,90,100,11.7,light snow
88,San-Pedro,CI,4.7485,-6.6363,78.46,86,8,5.79,clear sky
89,Pimenta Bueno,BR,-11.6725,-61.1936,74.66,95,95,2.55,overcast clouds
90,Malakal,SS,9.5334,31.6605,78.48,40,7,2.84,clear sky
91,Cape Town,ZA,-33.9258,18.4232,63.01,94,75,16.11,light rain
92,Thompson,CA,55.7435,-97.8558,16.14,82,34,12.1,scattered clouds
93,Port-Cartier,CA,50.0334,-66.8654,37.62,95,100,10.49,overcast clouds
94,Aykhal,RU,66.0,111.5,-9.81,95,100,12.15,overcast clouds
95,Hasaki,JP,35.7333,140.8333,48.6,47,1,14.32,clear sky
96,Chokurdakh,RU,70.6333,147.9167,-31.68,99,100,0.58,overcast clouds
97,Namibe,AO,-15.1961,12.1522,67.73,74,100,6.62,overcast clouds
98,Ponta Do Sol,PT,32.6667,-17.1,63.23,77,23,5.46,few clouds
99,Arraial Do Cabo,BR,-22.9661,-42.0278,71.87,92,91,9.71,overcast clouds
100,Paamiut,GL,61.994,-49.6678,37.49,99,100,12.24,light rain
101,Baculin,PH,7.4525,126.5842,82.2,80,72,5.5,broken clouds
102,Bengkulu,ID,-3.8004,102.2655,78.24,82,99,3.53,overcast clouds
103,Lorengau,PG,-2.0226,147.2712,85.33,66,100,4.03,overcast clouds
104,Mahebourg,MU,-20.4081,57.7,71.89,88,20,4.61,few clouds
105,Souillac,MU,-20.5167,57.5167,71.98,88,20,5.75,few clouds
106,Salalah,OM,17.0151,54.0924,74.86,36,7,4.34,clear sky
107,Zheleznodorozhnyy,RU,55.7503,38.0042,39.61,97,100,10.69,overcast clouds
108,Port Blair,IN,11.6667,92.75,81.86,74,26,13.98,scattered clouds
109,Barrow,US,71.2906,-156.7887,-11.18,70,40,0.0,haze
110,Plettenberg Bay,ZA,-34.0527,23.3716,62.62,71,36,4.43,scattered clouds
111,Riyadh,SA,24.6877,46.7219,62.87,37,0,7.31,clear sky
112,Cambuga,PH,13.6167,122.45,79.83,84,100,3.38,overcast clouds
113,Staryy Nadym,RU,65.6118,72.6842,-3.21,100,99,9.17,overcast clouds
114,Husavik,IS,66.0449,-17.3389,26.04,86,100,5.01,overcast clouds
115,Sao Filipe,CV,14.8961,-24.4956,77.16,73,9,12.77,clear sky
116,Nalut,LY,30.3333,10.85,68.58,33,100,17.11,overcast clouds
117,Dalbandin,PK,28.8947,64.4101,52.52,38,0,7.02,clear sky
118,Port Hardy,CA,50.6996,-127.4199,46.58,93,90,14.97,light intensity shower rain
119,Shingu,JP,33.7333,135.9833,51.93,49,0,2.17,clear sky
120,Ribeira Grande,PT,38.5167,-28.7,61.83,64,95,8.37,overcast clouds
121,Soyaux,FR,45.65,0.2,37.99,93,75,11.5,broken clouds
122,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,68,40,16.11,scattered clouds
123,New Norfolk,AU,-42.7826,147.0587,65.7,38,0,2.71,clear sky
124,Lompoc,US,34.6391,-120.4579,64.71,52,1,3.44,clear sky
125,Chapais,CA,49.7834,-74.8492,18.81,83,100,14.63,overcast clouds
126,Nikolskoye,RU,59.7035,30.7861,28.29,89,100,11.86,light snow
127,Abnub,EG,27.2696,31.1511,64.44,30,47,2.55,scattered clouds
128,Tasiilaq,GL,65.6145,-37.6368,23.31,90,100,10.71,light snow
129,Mandalgovi,MN,45.7625,106.2708,13.28,71,99,18.75,overcast clouds
130,Margate,GB,51.3813,1.3862,37.11,89,100,32.32,moderate rain
131,Tabat,ID,-2.635,115.2274,75.04,98,100,1.03,moderate rain
132,Dingle,PH,10.9995,122.6711,83.08,81,91,9.64,light rain
133,Pauini,BR,-7.7136,-66.9764,72.86,97,100,1.77,overcast clouds
134,Upata,VE,8.0086,-62.3989,71.85,95,100,3.89,overcast clouds
135,Lagos,NG,6.5833,3.75,80.92,91,95,2.64,overcast clouds
136,Karratha,AU,-20.7377,116.8463,93.88,18,0,25.77,clear sky
137,Tuktoyaktuk,CA,69.4541,-133.0374,-6.09,96,100,16.82,light snow
138,Aklavik,CA,68.2191,-135.0107,-11.2,83,100,17.43,overcast clouds
139,Zheleznogorsk,RU,52.331,35.3711,40.77,97,99,8.28,overcast clouds
140,Flinders,AU,-34.5833,150.8552,61.3,79,96,11.81,overcast clouds
141,Moroni,KM,-11.7022,43.2551,78.66,86,97,13.18,light rain
142,College,US,64.8569,-147.8028,-13.05,74,75,0.0,haze
143,Port Hedland,AU,-20.3167,118.5667,98.65,12,7,28.77,clear sky
144,Corinto,GR,37.9407,22.9573,55.51,85,5,7.27,clear sky
145,Kodiak,US,57.79,-152.4072,17.11,62,20,11.5,few clouds
146,Furukawa,JP,38.5717,140.9556,46.09,64,9,10.42,clear sky
147,Castro,BR,-24.7911,-50.0119,63.73,75,1,0.78,clear sky
148,Ongandjera,NA,-17.8833,15.0667,77.92,20,95,8.9,overcast clouds
149,Sinnamary,GF,5.3833,-52.95,78.08,88,96,9.08,overcast clouds
150,Marfino,RU,55.7028,37.3822,39.34,100,90,11.18,mist
151,Ossora,RU,59.2353,163.0719,25.83,96,100,6.96,snow
152,Pangnirtung,CA,66.1451,-65.7125,16.48,77,100,7.27,overcast clouds
153,Stephenville,US,32.2207,-98.2023,52.59,93,90,0.0,overcast clouds
154,Ponta Delgada,PT,37.7333,-25.6667,59.72,72,75,5.75,broken clouds
155,Rocha,UY,-34.4833,-54.3333,62.46,97,100,6.11,overcast clouds
156,Airai,TL,-8.9266,125.4092,73.33,61,100,0.96,overcast clouds
157,Deputatskiy,RU,69.3,139.9,-5.89,99,100,3.44,overcast clouds
158,Yellowknife,CA,62.456,-114.3525,-9.22,96,22,4.12,few clouds
159,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,20,5.75,few clouds
160,Moyale,KE,3.5167,39.0584,66.11,85,77,5.48,light rain
161,Araceli,PH,10.5529,119.9913,81.99,82,99,13.09,overcast clouds
162,Torbay,CA,47.6666,-52.7314,50.77,93,90,11.5,light intensity shower rain
163,Oranjemund,NA,-28.55,16.4333,61.14,89,98,5.21,overcast clouds
164,Rundu,NA,-17.9333,19.7667,70.09,71,100,6.4,overcast clouds
165,Sur,OM,22.5667,59.5289,74.39,50,34,5.03,scattered clouds
166,Moranbah,AU,-22.0016,148.0466,87.28,47,1,4.36,clear sky
167,Faya,SA,18.3851,42.4509,52.32,51,0,5.73,clear sky
168,Victoria,HK,22.2855,114.1577,69.85,51,72,7.2,broken clouds
169,Harlingen,US,26.1906,-97.6961,58.91,82,90,13.8,overcast clouds
170,Saryozek,KZ,44.3583,77.9753,26.78,26,0,10.09,clear sky
171,Pevek,RU,69.7008,170.3133,-12.59,83,5,4.25,clear sky
172,Salinopolis,BR,-0.6136,-47.3561,79.84,82,14,8.9,few clouds
173,Santa Fe,AR,-31.6333,-60.7,77.38,41,97,6.51,light rain
174,Bereda,ES,43.2686,-7.5406,44.35,90,91,4.99,overcast clouds
175,Muros,ES,42.7762,-9.0603,45.1,72,36,9.37,scattered clouds
176,Chara,RU,56.9064,118.2631,-11.72,79,3,1.63,clear sky
177,Were Ilu,ET,10.6,39.4333,45.68,88,0,6.69,clear sky
178,Marienburg,PL,54.0359,19.0266,33.46,85,100,6.46,overcast clouds
179,Krasnoyarka,RU,55.3333,73.1167,24.75,91,100,12.46,overcast clouds
180,Jalu,LY,29.0331,21.5482,69.35,39,32,2.93,scattered clouds
181,Mount Isa,AU,-20.7333,139.5,89.37,19,0,11.5,clear sky
182,Khatanga,RU,71.9667,102.5,-8.36,93,100,13.15,overcast clouds
183,Khovu-Aksy,RU,51.1333,93.6,5.45,84,100,4.23,overcast clouds
184,Urk,NL,52.6625,5.6014,39.2,91,100,6.29,overcast clouds
185,Kisiwani,TZ,-4.1333,37.95,70.56,89,88,0.67,overcast clouds
186,Xiongyue,CN,40.1774,122.1228,44.08,79,100,11.27,overcast clouds
187,Bethel,US,41.3712,-73.414,34.16,47,1,5.75,clear sky
188,East London,ZA,-33.0153,27.9116,63.46,90,6,4.92,clear sky
189,Komsomolskiy,UZ,40.4272,71.7189,29.62,56,15,0.65,few clouds
190,Uthal,PK,25.8072,66.6219,70.23,24,1,4.0,clear sky
191,Manado,ID,1.487,124.8455,86.77,66,20,3.44,few clouds
192,Chimoio,MZ,-19.1164,33.4833,56.84,94,12,1.14,few clouds
193,Tairua,NZ,-37.0167,175.85,72.9,55,92,7.25,overcast clouds
194,Gat,IL,31.61,34.7642,56.08,40,35,3.65,scattered clouds
195,Gigmoto,PH,13.7796,124.39,81.46,85,100,10.67,overcast clouds
196,Zinder,NE,13.8072,8.9881,73.54,15,100,9.64,overcast clouds
197,Amahai,ID,-3.3333,128.9167,84.15,71,100,1.39,light rain
198,Volkhovskiy,RU,58.58,31.3164,27.28,94,100,11.45,light snow
199,Acapulco,MX,16.8634,-99.8901,78.8,77,0,6.04,clear sky
200,Hot Springs,US,34.5037,-93.0552,45.32,59,100,5.08,overcast clouds
201,Sturgeon Falls,CA,46.3646,-79.9326,14.14,82,20,1.34,few clouds
202,Klaksvik,FO,62.2266,-6.589,25.72,66,98,9.17,overcast clouds
203,Bouna,CI,9.2667,-3.0,76.93,32,59,0.58,broken clouds
204,Victoria Point,AU,-27.5833,153.3,78.76,71,90,16.31,overcast clouds
205,Monrovia,LR,6.3005,-10.7969,76.77,78,98,4.59,overcast clouds
206,Aldan,RU,58.6031,125.3894,-3.46,94,100,6.71,overcast clouds
207,Hanover,DE,52.3705,9.7332,32.11,86,0,2.3,clear sky
208,Norman Wells,CA,65.282,-126.8329,-21.96,76,20,4.61,few clouds
209,Qaanaaq,GL,77.484,-69.3632,-0.54,98,98,1.9,overcast clouds
210,Macklin,CA,52.3334,-109.9348,25.61,79,100,9.8,overcast clouds
211,Upernavik,GL,72.7868,-56.1549,2.17,96,48,8.55,scattered clouds
212,Yulara,AU,-25.2406,130.9889,76.84,23,0,12.66,clear sky
213,Tolaga Bay,NZ,-38.3667,178.3,66.36,70,100,7.65,overcast clouds
214,Araouane,ML,18.9048,-3.5265,76.73,22,100,4.03,overcast clouds
215,Hearst,CA,49.6835,-83.6665,14.74,84,94,3.91,overcast clouds
216,Ithaki,GR,38.3642,20.7185,56.89,64,54,16.6,broken clouds
217,Hamilton,US,39.1834,-84.5333,45.37,65,84,6.69,broken clouds
218,Mount Gambier,AU,-37.8333,140.7667,67.51,40,9,7.78,clear sky
219,Borba,BR,-4.3878,-59.5939,76.71,90,100,2.26,overcast clouds
220,Puerto Ayora,EC,-0.7393,-90.3518,68.85,80,98,8.7,overcast clouds
221,Quatre Cocos,MU,-20.2078,57.7625,71.71,73,1,6.15,clear sky
222,Kiyasovo,RU,56.3491,53.1244,11.61,86,74,8.39,broken clouds
223,Taoudenni,ML,22.6783,-3.9836,68.63,31,2,14.45,clear sky
224,Makasar,ID,-5.14,119.4221,82.45,83,20,2.3,few clouds
225,Ulaangom,MN,49.9811,92.0667,9.27,75,90,4.18,overcast clouds
226,Kuching,MY,1.55,110.3333,79.02,89,20,4.61,few clouds
227,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.53,83,30,7.58,scattered clouds
228,Mwinilunga,ZM,-11.7358,24.4293,59.9,98,88,3.47,overcast clouds
229,Rudnya,RU,54.947,31.0934,34.59,97,100,13.76,overcast clouds
230,Yilan,TW,24.757,121.753,73.26,94,100,6.22,overcast clouds
231,Hualmay,PE,-11.0964,-77.6139,66.47,84,100,9.33,overcast clouds
232,Bathsheba,BB,13.2167,-59.5167,80.01,81,63,12.57,broken clouds
233,San Ramon,US,37.7799,-121.978,66.42,51,1,4.61,clear sky
234,Altay,CN,47.8667,88.1167,5.22,59,12,6.49,few clouds
235,Camacha,PT,33.0833,-16.3333,60.22,77,40,13.8,scattered clouds
